"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2001","AQS","360810094","1","5.5","ug/m3 LC","23","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/04/2001","AQS","360810094","1","21.7","ug/m3 LC","71","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/07/2001","AQS","360810094","1","24.9","ug/m3 LC","78","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/10/2001","AQS","360810094","1","11.1","ug/m3 LC","46","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/13/2001","AQS","360810094","1","19.2","ug/m3 LC","66","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/16/2001","AQS","360810094","1","19","ug/m3 LC","66","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/19/2001","AQS","360810094","1","9","ug/m3 LC","38","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/22/2001","AQS","360810094","1","27.4","ug/m3 LC","83","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/25/2001","AQS","360810094","1","24.8","ug/m3 LC","78","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/28/2001","AQS","360810094","1","10","ug/m3 LC","42","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"01/31/2001","AQS","360810094","1","22.3","ug/m3 LC","72","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/03/2001","AQS","360810094","1","6","ug/m3 LC","25","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/06/2001","AQS","360810094","1","19.5","ug/m3 LC","67","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/09/2001","AQS","360810094","1","17.5","ug/m3 LC","62","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/12/2001","AQS","360810094","1","6.9","ug/m3 LC","29","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/15/2001","AQS","360810094","1","11.6","ug/m3 LC","48","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/18/2001","AQS","360810094","1","8.1","ug/m3 LC","34","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/21/2001","AQS","360810094","1","11.7","ug/m3 LC","49","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/24/2001","AQS","360810094","1","13.3","ug/m3 LC","54","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"02/27/2001","AQS","360810094","1","13.2","ug/m3 LC","53","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/02/2001","AQS","360810094","1","28.9","ug/m3 LC","86","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/05/2001","AQS","360810094","1","7.1","ug/m3 LC","30","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/08/2001","AQS","360810094","1","15.8","ug/m3 LC","59","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/11/2001","AQS","360810094","1","14.5","ug/m3 LC","56","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/14/2001","AQS","360810094","1","9.3","ug/m3 LC","39","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/17/2001","AQS","360810094","1","14.6","ug/m3 LC","56","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/20/2001","AQS","360810094","1","6.5","ug/m3 LC","27","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/23/2001","AQS","360810094","1","4.5","ug/m3 LC","19","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/26/2001","AQS","360810094","1","11.8","ug/m3 LC","49","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"03/29/2001","AQS","360810094","1","26.5","ug/m3 LC","81","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"04/01/2001","AQS","360810094","1","17.4","ug/m3 LC","62","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"04/05/2001","AQS","360810094","1","12.8","ug/m3 LC","52","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"04/07/2001","AQS","360810094","1","15.3","ug/m3 LC","58","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"04/10/2001","AQS","360810094","1","9","ug/m3 LC","38","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
"04/13/2001","AQS","360810094","1","10.4","ug/m3 LC","43","PS 29","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.77798","-73.84318"
